ANO,DEPARTAMENTO,CODIGO MUNICIPIO,MUNICIPIO,META,DOSIS APLICADAS,COBERTURA
2009,CUNDINAMARCA,25486,Nemocón,265,278,104.91
2009,CUNDINAMARCA,25488,Nilo,240,103,42.92
2009,CUNDINAMARCA,25489,Nimaima,118,30,25.42
2009,CUNDINAMARCA,25491,Nocaima,96,63,65.63
2009,CUNDINAMARCA,25506,Venecia (Ospina Pérez),47,95,202.13
2009,CUNDINAMARCA,25513,Pacho,507,343,67.65
2009,CUNDINAMARCA,25518,Paime,98,44,44.90
2009,CUNDINAMARCA,25524,Pandi,100,57,57.00
2009,CUNDINAMARCA,25530,Paratebueno,178,178,100.00
2009,CUNDINAMARCA,25535,Pasca,256,130,50.78
2009,CUNDINAMARCA,25572,Puerto Salgar,330,161,48.79
2009,CUNDINAMARCA,25580,Pulí,54,21,38.89
2009,CUNDINAMARCA,25592,Quebradanegra,85,42,49.41
2009,CUNDINAMARCA,25594,Quetame,122,69,56.56
2009,CUNDINAMARCA,25596,Quipile,178,101,56.74
2009,CUNDINAMARCA,25599,Apulo (Rafael Reyes),130,139,106.92
2009,CUNDINAMARCA,25612,Ricaurte,146,150,102.74
2009,CUNDINAMARCA,25645,San Antonio del Tequendama,211,106,50.24
2009,CUNDINAMARCA,25649,San Bernardo,199,195,97.99
2009,CUNDINAMARCA,25653,San Cayetano,108,44,40.74
2009,CUNDINAMARCA,25658,San Francisco,187,101,54.01
2009,CUNDINAMARCA,25662,San Juan de Rioseco,167,178,106.59
2009,CUNDINAMARCA,25718,Sasaima,167,195,116.77
2009,CUNDINAMARCA,25736,Sesquilé,233,138,59.23
2009,CUNDINAMARCA,25740,Sibaté,627,410,65.39
2009,CUNDINAMARCA,25743,Silvania,378,374,98.94
2009,CUNDINAMARCA,25745,Simijaca,253,257,101.58
2009,CUNDINAMARCA,25754,Soacha,8799,5068,57.60
2009,CUNDINAMARCA,25758,Sopó,444,339,76.35
2009,CUNDINAMARCA,25769,Subachoque,250,176,70.40
2009,CUNDINAMARCA,25772,Suesca,366,221,60.38
2009,CUNDINAMARCA,25777,Supatá,114,46,40.35
2009,CUNDINAMARCA,25779,Susa,247,120,48.58
2009,CUNDINAMARCA,25781,Sutatausa,104,90,86.54
2009,CUNDINAMARCA,25785,Tabio,436,195,44.72
2009,CUNDINAMARCA,25793,Tausa,182,127,69.78
2009,CUNDINAMARCA,25797,Tena,181,54,29.83
2009,CUNDINAMARCA,25799,Tenjo,396,325,82.07
2009,CUNDINAMARCA,25805,Tibacuy,100,70,70.00
2009,CUNDINAMARCA,25807,Tibirita,66,30,45.45
2009,CUNDINAMARCA,25815,Tocaima,296,291,98.31
2009,CUNDINAMARCA,25817,Tocancipá,618,546,88.35
2009,CUNDINAMARCA,25823,Topaipí,92,52,56.52
2009,CUNDINAMARCA,25839,Ubalá,260,100,38.46
2009,CUNDINAMARCA,25841,Ubaque,123,83,67.48
2009,CUNDINAMARCA,25843,Ubaté,786,702,89.31
2009,CUNDINAMARCA,25845,Une,155,99,63.87
2009,CUNDINAMARCA,25851,Utica,91,53,58.24
2009,CUNDINAMARCA,25862,Vergara,141,78,55.32
2009,CUNDINAMARCA,25867,Vianí,75,46,61.33
2009,CUNDINAMARCA,25871,Villagómez,43,37,86.05
2009,CUNDINAMARCA,25873,Villapinzón,418,260,62.20
2009,CUNDINAMARCA,25875,Villeta,437,419,95.88
2009,CUNDINAMARCA,25878,Viotá,228,254,111.40
2009,CUNDINAMARCA,25885,Yacopí,315,190,60.32
2009,CUNDINAMARCA,25898,Zipacón,112,42,37.50
2009,CUNDINAMARCA,25899,Zipaquirá,2047,1736,84.81
2009,CHOCÓ,27001,Quibdó,3240,2908,89.75
2009,CHOCÓ,27006,Acandí,266,278,104.51
2009,CHOCÓ,27025,Alto Baudó (Pie de Pato),1037,424,40.89
2009,CHOCÓ,27050,Atrato,246,124,50.41
2009,CHOCÓ,27073,Bagadó,243,109,44.86
2009,CHOCÓ,27075,Bahía Solano (Mutis),268,283,105.60
2009,CHOCÓ,27077,Bajo Baudó (Pizarro),553,323,58.41
2009,CHOCÓ,27086,Belén de Bajirá,0,0,0.00
2009,CHOCÓ,27099,Bojayá (Bellavista),290,285,98.28
2009,CHOCÓ,27135,El Cantón de San Pablo,199,130,65.33
2009,CHOCÓ,27150,Carmen del Darién,151,97,64.24
2009,CHOCÓ,27160,Certegui,213,208,97.65
2009,CHOCÓ,27205,Condoto,347,352,101.44
2009,CHOCÓ,27245,El Carmen de Atrato,371,172,46.36
2009,CHOCÓ,27250,El Litoral del San Juan,444,279,62.84
2009,CHOCÓ,27361,Istmina,644,458,71.12
2009,CHOCÓ,27372,Juradó,103,136,132.04
2009,CHOCÓ,27413,Lloró,303,149,49.17
2009,CHOCÓ,27425,Medio Atrato,576,162,28.13
2009,CHOCÓ,27430,Medio Baudó (Boca de Pepe),362,213,58.84
2009,CHOCÓ,27450,Medio San Juan,422,276,65.40
2009,CHOCÓ,27491,Nóvita,230,204,88.70
2009,CHOCÓ,27495,Nuquí,233,131,56.22
2009,CHOCÓ,27580,Río Iro,251,196,78.09
2009,CHOCÓ,27600,Río Quito,241,156,64.73
2009,CHOCÓ,27615,Riosucio,884,835,94.46
2009,CHOCÓ,27660,San José del Palmar,159,153,96.23
2009,CHOCÓ,27745,Sipí,107,97,90.65
2009,CHOCÓ,27787,Tadó,547,528,96.53
2009,CHOCÓ,27800,Unguía,392,350,89.29
2009,CHOCÓ,27810,Unión Panamericana,254,220,86.61
2009,HUILA,41001,Neiva,5449,6259,114.87
2009,HUILA,41006,Acevedo,774,745,96.25
2009,HUILA,41013,Agrado,209,182,87.08
2009,HUILA,41016,Aipe,504,460,91.27
2009,HUILA,41020,Algeciras,562,526,93.59
2009,HUILA,41026,Altamira,88,57,64.77
2009,HUILA,41078,Baraya,207,181,87.44
2009,HUILA,41132,Campoalegre,661,664,100.45
2009,HUILA,41206,Colombia,248,216,87.10
2009,HUILA,41244,Elías,90,50,55.56
2009,HUILA,41298,Garzón,1809,1254,69.32
2009,HUILA,41306,Gigante,683,460,67.35
2009,HUILA,41319,Guadalupe,476,343,72.06
2009,HUILA,41349,Hobo,146,134,91.78
2009,HUILA,41357,Iquira,240,231,96.25
2009,HUILA,41359,Isnos,584,561,96.06
2009,HUILA,41378,La Argentina,326,313,96.01
2009,HUILA,41396,La Plata,1364,1121,82.18
2009,HUILA,41483,Nátaga,146,138,94.52
2009,HUILA,41503,Oporapa,348,330,94.83
2009,HUILA,41518,Paicol,125,124,99.20
2009,HUILA,41524,Palermo,606,527,86.96
2009,HUILA,41530,Palestina,255,272,106.67
2009,HUILA,41548,Pital,320,282,88.13
2009,HUILA,41551,Pitalito,2451,2589,105.63
2009,HUILA,41615,Rivera,361,317,87.81
2009,HUILA,41660,Saladoblanco,293,276,94.20
2009,HUILA,41668,San Agustín,634,574,90.54
2009,HUILA,41676,Santa María,254,243,95.67
2009,HUILA,41770,Suaza,402,343,85.32
2009,HUILA,41791,Tarqui,431,290,67.29
2009,HUILA,41797,Tesalia,195,198,101.54
2009,HUILA,41799,Tello,354,348,98.31
2009,HUILA,41801,Teruel,189,179,94.71
2009,HUILA,41807,Timaná,455,435,95.60
2009,HUILA,41872,Villavieja,178,109,61.24
2009,HUILA,41885,Yaguará,152,148,97.37
2009,LA GUAJIRA,44001,Riohacha,6176,5500,89.05
2009,LA GUAJIRA,44035,Albania,682,703,103.08
2009,LA GUAJIRA,44078,Barrancas,842,855,101.54
