FECHA_ID,UBICACION_ID,META,DOSIS APLICADAS,COBERTURA
2,77,379,188,49.6
2,78,396,285,72.0
2,79,546,495,90.7
2,80,323,137,42.4
2,81,1907,1493,78.3
2,82,197,190,96.4
2,83,536,403,75.2
2,84,384,279,72.7
2,85,308,189,61.4
2,86,124,106,85.5
2,87,240,141,58.8
2,88,78,44,56.4
2,89,641,519,81.0
2,90,221,203,91.9
2,91,482,381,79.0
2,92,744,885,119.0
2,93,243,175,72.0
2,94,365,360,98.6
2,95,312,264,84.6
2,96,632,554,87.7
2,97,503,315,62.6
2,98,222,154,69.4
2,99,839,649,77.4
2,100,649,494,76.1
2,101,263,184,70.0
2,102,250,178,71.2
2,103,1019,707,69.4
2,104,153,68,44.4
2,105,224,97,43.3
2,106,147,82,55.8
2,107,3548,2538,71.5
2,108,178,124,69.7
2,109,883,460,52.1
2,110,506,367,72.5
2,111,122,52,42.6
2,112,231,206,89.2
2,113,1038,994,95.8
2,114,20244,19752,97.6
2,115,367,267,72.8
2,116,254,241,94.9
2,117,772,699,90.5
2,118,303,307,101.3
2,119,536,554,103.4
2,120,2334,1873,80.2
2,121,282,282,100.0
2,122,450,430,95.6
2,123,110,77,70.0
2,124,279,208,74.6
2,125,448,392,87.5
2,126,469,426,90.8
2,127,547,518,94.7
2,128,554,507,91.5
2,129,1890,1315,69.6
2,130,245,125,51.0
2,131,436,375,86.0
2,132,10440,6969,66.8
2,133,166,102,61.4
2,134,206,142,68.9
2,135,180,142,78.9
2,136,815,787,96.6
2,137,191,148,77.5
2,138,146,123,84.2
2,139,101,85,84.2
2,140,249,257,103.2
2,141,47,46,97.9
2,142,305,241,79.0
2,143,219,114,52.1
2,144,320,348,108.7
2,145,11288,11107,98.4
2,146,192,95,49.5
2,147,75,52,69.3
2,148,350,278,79.4
2,149,311,257,82.6
2,150,490,489,99.8
2,151,125,86,68.8
2,152,296,276,93.2
2,153,69,37,53.6
2,154,305,207,67.9
2,155,174,179,102.9
2,156,127,72,56.7
2,157,1282,1076,83.9
2,158,72,61,84.7
2,159,75,60,80.0
2,160,1782,1631,91.5
2,161,738,720,97.6
2,162,100,52,52.0
2,163,185,182,98.4
2,164,127,114,89.8
2,165,198,190,96.0
2,166,364,198,54.4
2,167,105,105,100.0
2,168,58,31,53.4
2,169,581,441,75.9
2,170,108,104,96.3
2,171,538,307,57.1
2,172,947,765,80.8
2,173,345,285,82.6
2,174,124,90,72.6
2,175,1525,1460,95.7
2,176,39,13,33.3
2,177,105,54,51.4
2,178,159,139,87.4
2,179,497,337,67.8
2,180,136,93,68.4
2,181,3273,4090,125.0
2,182,114,82,71.9
2,183,280,131,46.8
2,184,7448,9021,121.1
2,185,44,30,68.2
2,186,36,35,97.2
2,187,103,73,70.9
2,188,91,56,61.5
2,189,40,28,70.0
2,190,116,91,78.4
2,191,198,174,87.9
2,192,47,22,46.8
2,193,52,39,75.0
2,194,95,57,60.0
2,195,876,581,66.3
2,196,102,86,84.3
2,197,49,28,57.1
2,198,90,46,51.1
2,199,149,92,61.7
2,200,215,132,61.4
2,201,376,254,67.6
2,202,39,28,71.8
2,203,145,68,46.9
2,204,272,239,87.9
2,205,56,54,96.4
2,206,63,35,55.6
2,207,142,78,54.9
2,208,3814,3819,100.1
2,209,49,48,98.0
2,210,109,66,60.6
2,211,2734,1951,71.4
